"TAXA_ID","RANK_ID","RANK","TREE","NAME","FAMILY","GENUS","SPECIES","INFRASPECIES_RANK","INFRASPECIES","AUTHOR","ACCEPTED","DOUBTFUL_EXCLUDED_OR_OTHER","VOLUME_ID","VOLUME","VOLUME_REFERENCE","ABIF03_PNID","NSL_ID","NSL_INSTANCE_URI","CREATED_AT","CREATED_BY","UPDATED_AT","UPDATED_BY","URL_NAME"
20,10,"gen."," fam. Mimosaceae | gen. Acacia","Acacia","Mimosaceae","Acacia","","","","Miller","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40829,567630,"https://biodiversity.org.au/boa/instance/apni/567630",30/JUL/10,"FOA",,"","Acacia"
23,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abbatiana","Acacia abbatiana","Mimosaceae","Acacia ","abbatiana","","","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42032,603763,"https://biodiversity.org.au/boa/instance/apni/603763",30/JUL/10,"FOA",09/OCT/13,"ghw","Acacia%20abbatiana"
24,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abbreviata","Acacia abbreviata","Mimosaceae","Acacia ","abbreviata","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41729,567262,"https://biodiversity.org.au/boa/instance/apni/567262",30/JUL/10,"FOA",06/JUN/12,"brucem","Acacia%20abbreviata"
25,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abrupta","Acacia abrupta","Mimosaceae","Acacia ","abrupta","","","Maiden & Blakely","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41393,565501,"https://biodiversity.org.au/boa/instance/apni/565501",30/JUL/10,"FOA",,"","Acacia%20abrupta"
26,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthaster","Acacia acanthaster","Mimosaceae","Acacia ","acanthaster","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41194,565221,"https://biodiversity.org.au/boa/instance/apni/565221",30/JUL/10,"FOA",,"","Acacia%20acanthaster"
27,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada","Acacia acanthoclada","Mimosaceae","Acacia ","acanthoclada","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41189,565216,"https://biodiversity.org.au/boa/instance/apni/565216",30/JUL/10,"FOA",,"","Acacia%20acanthoclada"
28,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada | subsp. acanthoclada","Acacia acanthoclada subsp. acanthoclada","Mimosaceae","Acacia ","acanthoclada ","subsp.","acanthoclada","","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41190,565217,"https://biodiversity.org.au/boa/instance/apni/565217",30/JUL/10,"FOA",,"","Acacia%20acanthoclada%20subsp.%20acanthoclada"
29,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada | subsp. glaucescens","Acacia acanthoclada subsp. glaucescens","Mimosaceae","Acacia ","acanthoclada ","subsp.","glaucescens","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41191,565218,"https://biodiversity.org.au/boa/instance/apni/565218",30/JUL/10,"FOA",,"","Acacia%20acanthoclada%20subsp.%20glaucescens"
30,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acellerata","Acacia acellerata","Mimosaceae","Acacia ","acellerata","","","Maiden & Blakely","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41491,567025,"https://biodiversity.org.au/boa/instance/apni/567025",30/JUL/10,"FOA",,"","Acacia%20acellerata"
31,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acinacea","Acacia acinacea","Mimosaceae","Acacia ","acinacea","","","Lindl.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41354,565460,"https://biodiversity.org.au/boa/instance/apni/565460",30/JUL/10,"FOA",,"","Acacia%20acinacea"
32,19,"var."," fam. Mimosaceae | gen. Acacia | var. brevipedunculata","Acacia acinacea var. brevipedunculata","Mimosaceae","Acacia ","","var.","brevipedunculata","Regel","N","Y",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42090,567536,"https://biodiversity.org.au/boa/instance/apni/567536",30/JUL/10,"FOA",,"","Acacia%20acinacea%20var.%20brevipedunculata"
33,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aciphylla","Acacia aciphylla","Mimosaceae","Acacia ","aciphylla","","","Benth.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41874,567386,"https://biodiversity.org.au/boa/instance/apni/567386",30/JUL/10,"FOA",,"","Acacia%20aciphylla"
34,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acoma","Acacia acoma","Mimosaceae","Acacia ","acoma","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41344,565450,"https://biodiversity.org.au/boa/instance/apni/565450",30/JUL/10,"FOA",,"","Acacia%20acoma"
35,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acradenia","Acacia acradenia","Mimosaceae","Acacia ","acradenia","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41664,567201,"https://biodiversity.org.au/boa/instance/apni/567201",30/JUL/10,"FOA",,"","Acacia%20acradenia"
36,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acrionastes","Acacia acrionastes","Mimosaceae","Acacia ","acrionastes","","","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40971,564965,"https://biodiversity.org.au/boa/instance/apni/564965",30/JUL/10,"FOA",,"","Acacia%20acrionastes"
37,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acuaria","Acacia acuaria","Mimosaceae","Acacia ","acuaria","","","W.Fitzg.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41177,565203,"https://biodiversity.org.au/boa/instance/apni/565203",30/JUL/10,"FOA",,"","Acacia%20acuaria"
38,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aculeatissima","Acacia aculeatissima","Mimosaceae","Acacia ","aculeatissima","","","J.F.Macbr.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41167,565193,"https://biodiversity.org.au/boa/instance/apni/565193",30/JUL/10,"FOA",,"","Acacia%20aculeatissima"
39,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aculeiformis","Acacia aculeiformis","Mimosaceae","Acacia ","aculeiformis","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41297,565321,"https://biodiversity.org.au/boa/instance/apni/565321",30/JUL/10,"FOA",,"","Acacia%20aculeiformis"
40,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acuminata","Acacia acuminata","Mimosaceae","Acacia ","acuminata","","","Benth.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41888,567399,"https://biodiversity.org.au/boa/instance/apni/567399",30/JUL/10,"FOA",07/JUN/12,"brucem","Acacia%20acuminata"
43,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acutata","Acacia acutata","Mimosaceae","Acacia ","acutata","","","W.Fitzg.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41267,565291,"https://biodiversity.org.au/boa/instance/apni/565291",30/JUL/10,"FOA",,"","Acacia%20acutata"
44,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adenogonia","Acacia adenogonia","Mimosaceae","Acacia ","adenogonia","","","(Pedley) R.S.Cowan & Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41581,567114,"https://biodiversity.org.au/boa/instance/apni/567114",30/JUL/10,"FOA",,"","Acacia%20adenogonia"
45,1,"sp."," fam. Mimosaceae | gen. Acacia | sp. adenophora","Acacia adenophora","Mimosaceae","Acacia ","adenophora","","","Spreng.","N","Y",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42091,567537,"https://biodiversity.org.au/boa/instance/apni/567537",30/JUL/10,"FOA",,"","Acacia%20adenophora"
46,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adinophylla","Acacia adinophylla","Mimosaceae","Acacia ","adinophylla","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41305,565328,"https://biodiversity.org.au/boa/instance/apni/565328",30/JUL/10,"FOA",,"","Acacia%20adinophylla"
47,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adnata","Acacia adnata","Mimosaceae","Acacia ","adnata","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41479,567013,"https://biodiversity.org.au/boa/instance/apni/567013",30/JUL/10,"FOA",,"","Acacia%20adnata"
48,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adoxa","Acacia adoxa","Mimosaceae","Acacia ","adoxa","","","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41960,567464,"https://biodiversity.org.au/boa/instance/apni/567464",30/JUL/10,"FOA",,"","Acacia%20adoxa"
49,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adoxa | var. adoxa","Acacia adoxa var. adoxa","Mimosaceae","Acacia ","adoxa ","var.","adoxa","","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41961,567465,"https://biodiversity.org.au/boa/instance/apni/567465",30/JUL/10,"FOA",,"","Acacia%20adoxa%20var.%20adoxa"
50,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adoxa | var. subglabra","Acacia adoxa var. subglabra","Mimosaceae","Acacia ","adoxa ","var.","subglabra","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41962,567466,"https://biodiversity.org.au/boa/instance/apni/567466",30/JUL/10,"FOA",,"","Acacia%20adoxa%20var.%20subglabra"
51,1,"sp."," fam. Mimosaceae | gen. Acacia | sp. adpressa","Acacia adpressa","Mimosaceae","Acacia ","adpressa","","","Jacques","N","Y",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42171,567609,"https://biodiversity.org.au/boa/instance/apni/567609",30/JUL/10,"FOA",,"","Acacia%20adpressa"
52,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adsurgens","Acacia adsurgens","Mimosaceae","Acacia ","adsurgens","","","Maiden & Blakely","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41818,567345,"https://biodiversity.org.au/boa/instance/apni/567345",30/JUL/10,"FOA",,"","Acacia%20adsurgens"
53,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. adunca","Acacia adunca","Mimosaceae","Acacia ","adunca","","","A.Cunn. ex G.Don","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40970,564964,"https://biodiversity.org.au/boa/instance/apni/564964",30/JUL/10,"FOA",,"","Acacia%20adunca"
54,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aemula","Acacia aemula","Mimosaceae","Acacia ","aemula","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41255,565280,"https://biodiversity.org.au/boa/instance/apni/565280",30/JUL/10,"FOA",,"","Acacia%20aemula"
55,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aemula | subsp. aemula","Acacia aemula subsp. aemula","Mimosaceae","Acacia ","aemula ","subsp.","aemula","","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41256,565281,"https://biodiversity.org.au/boa/instance/apni/565281",30/JUL/10,"FOA",,"","Acacia%20aemula%20subsp.%20aemula"
56,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aemula | subsp. muricata","Acacia aemula subsp. muricata","Mimosaceae","Acacia ","aemula ","subsp.","muricata","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41257,565282,"https://biodiversity.org.au/boa/instance/apni/565282",30/JUL/10,"FOA",,"","Acacia%20aemula%20subsp.%20muricata"
57,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. aestivalis","Acacia aestivalis","Mimosaceae","Acacia ","aestivalis","","","E.Pritz.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40954,564948,"https://biodiversity.org.au/boa/instance/apni/564948",30/JUL/10,"FOA",,"","Acacia%20aestivalis"
58,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alata","Acacia alata","Mimosaceae","Acacia ","alata","","","R.Br.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41122,565149,"https://biodiversity.org.au/boa/instance/apni/565149",30/JUL/10,"FOA",,"","Acacia%20alata"
59,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alata | var. alata","Acacia alata var. alata","Mimosaceae","Acacia ","alata ","var.","alata","","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41123,565150,"https://biodiversity.org.au/boa/instance/apni/565150",30/JUL/10,"FOA",,"","Acacia%20alata%20var.%20alata"
60,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alata | var. biglandulosa","Acacia alata var. biglandulosa","Mimosaceae","Acacia ","alata ","var.","biglandulosa","Benth.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41124,565151,"https://biodiversity.org.au/boa/instance/apni/565151",30/JUL/10,"FOA",,"","Acacia%20alata%20var.%20biglandulosa"
61,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alata | var. platyptera","Acacia alata var. platyptera","Mimosaceae","Acacia ","alata ","var.","platyptera","(Lindl.) Meisn.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41125,565152,"https://biodiversity.org.au/boa/instance/apni/565152",30/JUL/10,"FOA",,"","Acacia%20alata%20var.%20platyptera"
62,19,"var."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alata | var. tetrantha","Acacia alata var. tetrantha","Mimosaceae","Acacia ","alata ","var.","tetrantha","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41126,565153,"https://biodiversity.org.au/boa/instance/apni/565153",30/JUL/10,"FOA",,"","Acacia%20alata%20var.%20tetrantha"
1168,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alaticaulis","Acacia alaticaulis","Mimosaceae","Acacia ","alaticaulis","","","Kodela & Tindale","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40864,771754,"https://biodiversity.org.au/boa/instance/apni/771754",30/JUL/10,"FOA",21/JAN/14,"hthompson","Acacia%20alaticaulis"
64,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alcockii","Acacia alcockii","Mimosaceae","Acacia ","alcockii","","","Maslin & Whibley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40933,564929,"https://biodiversity.org.au/boa/instance/apni/564929",30/JUL/10,"FOA",,"","Acacia%20alcockii"
65,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alexandri","Acacia alexandri","Mimosaceae","Acacia ","alexandri","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41055,565063,"https://biodiversity.org.au/boa/instance/apni/565063",30/JUL/10,"FOA",,"","Acacia%20alexandri"
66,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alleniana","Acacia alleniana","Mimosaceae","Acacia ","alleniana","","","Maiden","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41044,565053,"https://biodiversity.org.au/boa/instance/apni/565053",30/JUL/10,"FOA",,"","Acacia%20alleniana"
67,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. alpina","Acacia alpina","Mimosaceae","Acacia ","alpina","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41934,567443,"https://biodiversity.org.au/boa/instance/apni/567443",30/JUL/10,"FOA",,"","Acacia%20alpina"
68,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amanda","Acacia amanda","Mimosaceae","Acacia ","amanda","","","G.J.Leach","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41606,567139,"https://biodiversity.org.au/boa/instance/apni/567139",30/JUL/10,"FOA",,"","Acacia%20amanda"
69,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amblygona","Acacia amblygona","Mimosaceae","Acacia ","amblygona","","","A.Cunn. ex Benth.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41180,565206,"https://biodiversity.org.au/boa/instance/apni/565206",30/JUL/10,"FOA",,"","Acacia%20amblygona"
70,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amblyophylla","Acacia amblyophylla","Mimosaceae","Acacia ","amblyophylla","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40949,564943,"https://biodiversity.org.au/boa/instance/apni/564943",30/JUL/10,"FOA",,"","Acacia%20amblyophylla"
71,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amentifera","Acacia amentifera","Mimosaceae","Acacia ","amentifera","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41723,567256,"https://biodiversity.org.au/boa/instance/apni/567256",30/JUL/10,"FOA",,"","Acacia%20amentifera"
72,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. ammobia","Acacia ammobia","Mimosaceae","Acacia ","ammobia","","","Maconochie","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41796,567325,"https://biodiversity.org.au/boa/instance/apni/567325",30/JUL/10,"FOA",,"","Acacia%20ammobia"
73,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. ammophila","Acacia ammophila","Mimosaceae","Acacia ","ammophila","","","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41568,567101,"https://biodiversity.org.au/boa/instance/apni/567101",30/JUL/10,"FOA",,"","Acacia%20ammophila"
74,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amoena","Acacia amoena","Mimosaceae","Acacia ","amoena","","","H.L.Wendl.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40920,564916,"https://biodiversity.org.au/boa/instance/apni/564916",30/JUL/10,"FOA",,"","Acacia%20amoena"
75,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. ampliata","Acacia ampliata","Mimosaceae","Acacia ","ampliata","","","R.S.Cowan & Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41866,567378,"https://biodiversity.org.au/boa/instance/apni/567378",30/JUL/10,"FOA",,"","Acacia%20ampliata"
76,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. ampliceps","Acacia ampliceps","Mimosaceae","Acacia ","ampliceps","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41082,565085,"https://biodiversity.org.au/boa/instance/apni/565085",30/JUL/10,"FOA",,"","Acacia%20ampliceps"
77,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amputata","Acacia amputata","Mimosaceae","Acacia ","amputata","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42000,567504,"https://biodiversity.org.au/boa/instance/apni/567504",30/JUL/10,"FOA",,"","Acacia%20amputata"
78,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. amyctica","Acacia amyctica","Mimosaceae","Acacia ","amyctica","","","R.S.Cowan & Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41523,567056,"https://biodiversity.org.au/boa/instance/apni/567056",30/JUL/10,"FOA",,"","Acacia%20amyctica"
79,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. anarthros","Acacia anarthros","Mimosaceae","Acacia ","anarthros","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42018,567522,"https://biodiversity.org.au/boa/instance/apni/567522",30/JUL/10,"FOA",,"","Acacia%20anarthros"
80,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. anasilla","Acacia anasilla","Mimosaceae","Acacia ","anasilla","","","A.S.George","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41966,567470,"https://biodiversity.org.au/boa/instance/apni/567470",30/JUL/10,"FOA",,"","Acacia%20anasilla"
81,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. anastema","Acacia anastema","Mimosaceae","Acacia ","anastema","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41861,567373,"https://biodiversity.org.au/boa/instance/apni/567373",30/JUL/10,"FOA",,"","Acacia%20anastema"
82,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. anaticeps","Acacia anaticeps","Mimosaceae","Acacia ","anaticeps","","","Tindale","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41607,567140,"https://biodiversity.org.au/boa/instance/apni/567140",30/JUL/10,"FOA",,"","Acacia%20anaticeps"
83,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. anceps","Acacia anceps","Mimosaceae","Acacia ","anceps","","","DC.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40934,564930,"https://biodiversity.org.au/boa/instance/apni/564930",30/JUL/10,"FOA",,"","Acacia%20anceps"
